#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_4886_cov_0.859846	1	4880	863	4880	100	17.5533	36	58.3
NODE_2_length_1654_cov_1.712112	1	1654	103	1654	100	7.41959	36.1	59.6
NODE_3_length_1080_cov_1.909272	1	1080	99	1080	100	10.0972	36.2	59.4
NODE_4_length_940_cov_0.984936	1	940	36	940	100	3.82766	36.6	60
NODE_5_length_841_cov_1.638743	1	841	74	841	100	8.36147	36.5	60
NODE_6_length_785_cov_1.187853	1	785	123	785	100	12.7032	36.1	39.2
NODE_7_length_773_cov_1.099138	1	773	28	773	100	3.60155	36.1	60
NODE_8_length_768_cov_0.593343	1	768	47	768	100	5.90625	36.2	56.2
NODE_9_length_745_cov_1.187126	1	745	22	745	100	3.11544	36.3	58.2
NODE_10_length_700_cov_0.783307	1	700	176	700	100	19.8357	36.2	40.2
NODE_11_length_679_cov_1.785714	1	679	118	679	100	13.433	36	48.6
NODE_12_length_647_cov_0.907018	1	647	21	647	100	2.82226	35.4	57.2
NODE_13_length_633_cov_0.631295	1	633	26	633	100	2.63823	36.1	55.1
NODE_14_length_604_cov_0.982922	1	604	10	604	100	2.36755	35.5	60
NODE_15_length_592_cov_0.850485	1	592	8	592	100	1.97297	36.5	60
NODE_16_length_583_cov_0.895257	1	583	131	575	98.6278	18.2762	36.2	52.8
NODE_17_length_582_cov_0.613861	1	582	620	582	100	37.5653	36.6	59.9
NODE_18_length_576_cov_0.943888	1	576	552	576	100	68.2049	36	32.7
NODE_19_length_559_cov_0.000000	1	559	4104	559	100	248.923	36.6	58.6
NODE_20_length_520_cov_0.765237	1	520	12	520	100	2.42308	36.4	60
NODE_21_length_510_cov_2.106236	1	510	36	510	100	6.8902	36.4	60
NODE_22_length_490_cov_1.634383	1	490	28	490	100	6.04082	36.1	60
NODE_23_length_482_cov_0.488889	1	482	997	482	100	165.737	36.1	41.1
NODE_24_length_481_cov_1.247525	1	481	89	481	100	17.3472	36.2	44.1
NODE_25_length_472_cov_0.916456	1	472	10	472	100	2.76695	36.3	60
NODE_26_length_461_cov_1.106771	1	461	2160	461	100	144.54	35.4	37.7
NODE_27_length_445_cov_2.279891	1	445	32	445	100	8.09888	36.3	58.7
NODE_28_length_444_cov_0.569482	1	444	368	444	100	30.8378	36.5	59.6
NODE_29_length_439_cov_0.814917	1	439	18	439	100	3.78815	36.6	60
NODE_30_length_433_cov_1.272472	1	433	14	433	100	3.80139	36.6	60
NODE_31_length_428_cov_0.729345	1	428	414	428	100	34.3528	36.6	59.9
NODE_32_length_428_cov_0.000000	1	428	680	428	100	56.2126	36.5	60
NODE_33_length_427_cov_0.000000	1	427	440	427	100	37.1944	36.5	60
NODE_34_length_417_cov_1.394118	1	417	183	417	100	42.4724	36.3	45.9
NODE_35_length_414_cov_1.133531	1	414	46	414	100	4.51932	36.5	47.6
NODE_36_length_402_cov_1.040000	1	402	6	402	100	1.66169	36.4	60
NODE_37_length_401_cov_1.021605	1	401	4	401	100	1.45636	36.8	60
NODE_38_length_399_cov_0.919255	1	399	4	399	100	1.46366	36	60
NODE_39_length_398_cov_0.000000	1	398	2030	398	100	174.889	36.6	59.5
NODE_40_length_397_cov_1.353125	1	397	49	397	100	6.6801	36.2	42.3
NODE_41_length_392_cov_0.977778	1	392	6	392	100	2.04592	36.7	60
NODE_42_length_392_cov_0.803175	1	392	4	392	100	1.4898	36.6	60
NODE_43_length_388_cov_0.585209	1	388	141	388	100	20.7912	36.1	43.6
NODE_44_length_387_cov_1.283871	1	387	10	387	100	3.45736	34.3	60
NODE_45_length_385_cov_1.555195	1	385	6	385	100	2.26494	35	60
NODE_46_length_385_cov_1.042208	1	385	133	385	100	28.3039	35.9	43.3
NODE_47_length_384_cov_0.967427	1	384	6	384	100	2.01562	36.9	60
NODE_48_length_382_cov_0.809836	1	382	5	382	100	1.90838	36.4	60
NODE_49_length_381_cov_1.217105	1	381	46	381	100	7.23097	36.5	35.5
NODE_50_length_381_cov_0.855263	1	381	4	381	100	1.52493	36.5	60
NODE_51_length_377_cov_0.640000	1	377	11	377	100	2.46419	36.7	57.4
NODE_52_length_376_cov_1.802676	1	376	18	376	100	5.42287	35.5	60
NODE_53_length_374_cov_0.747475	1	374	24	374	100	4.39305	36.1	38.6
NODE_54_length_373_cov_1.013514	1	373	4	373	100	1.56568	36.5	60
NODE_55_length_371_cov_0.829932	1	371	6	371	100	2.03504	36.6	60
NODE_56_length_369_cov_1.044521	1	369	4	369	100	1.57724	35.9	60
NODE_57_length_369_cov_0.000000	1	369	2228	369	100	215.859	36.6	59.3
NODE_58_length_364_cov_1.567944	1	364	6	364	100	2.40659	36.4	60
NODE_59_length_363_cov_0.664336	1	363	45	363	100	8.28375	36.2	56.5
NODE_60_length_362_cov_1.298246	1	362	6	362	100	2.41989	35.6	60
NODE_61_length_356_cov_1.107527	1	356	19	356	100	4.42416	36.5	57.7
NODE_62_length_356_cov_0.881720	1	356	14	356	100	2.98596	36.4	58.1
NODE_63_length_356_cov_0.802867	1	356	10	356	100	2.5309	36.6	50.8
NODE_64_length_356_cov_0.000000	1	356	1578	356	100	147.444	36.7	58.5
NODE_65_length_355_cov_0.000000	1	355	1234	355	100	119.623	36.6	59
NODE_66_length_354_cov_0.545126	1	354	17	354	100	3.93503	36.2	58.1
NODE_67_length_352_cov_0.934545	1	352	4	352	100	1.65341	36.6	60
NODE_68_length_352_cov_0.872727	1	352	4	352	100	1.64773	36.4	60
NODE_69_length_351_cov_0.813869	1	351	5	351	100	2.07123	34.3	60
NODE_70_length_349_cov_0.757353	1	349	4	349	100	1.38682	35.7	60
NODE_71_length_256_cov_1.932961	1	256	8	207	80.8594	3.92188	36.1	42
NODE_72_length_232_cov_0.954839	1	232	4	221	95.2586	1.50431	31.8	15
NODE_73_length_191_cov_0.684211	1	191	4	180	94.2408	2.73822	33.8	53.2
NODE_74_length_167_cov_1.322222	1	167	252	167	100	86.479	35.7	21.3
NODE_75_length_158_cov_1.000000	1	158	4	146	92.4051	3.64557	34.7	57
NODE_76_length_146_cov_1.043478	1	146	4	121	82.8767	1.63014	36.8	4.75
NODE_77_length_122_cov_0.977778	1	122	1470	122	100	340.975	36.5	2.17
NODE_78_length_117_cov_1.050000	1	117	512	116	99.1453	121	36.4	23.6
NODE_79_length_116_cov_1.435897	1	116	1	116	100	1	35.2	53
NODE_80_length_104_cov_3.111111	1	104	2	104	100	1.40385	36.3	0
NODE_81_length_103_cov_1.807692	1	103	2	103	100	2	33	10
NODE_82_length_92_cov_4.333333	1	92	30	92	100	11.2717	34.8	0.767
NODE_83_length_88_cov_4.272727	1	88	9	88	100	4.18182	36	0
NODE_84_length_86_cov_6.333333	1	86	68	86	100	27.093	36	0
NODE_85_length_86_cov_5.777778	1	86	4	86	100	3.4186	35.1	0
NODE_86_length_85_cov_5.750000	1	85	634	85	100	244.412	36.3	0.38
NODE_87_length_84_cov_131.000000	1	84	11132	84	100	6290.31	36.4	1.65
NODE_88_length_84_cov_5.285714	1	84	1240	84	100	396.702	36.3	0.41
NODE_89_length_83_cov_9.000000	1	83	3396	83	100	1129.34	36	0.103
NODE_90_length_83_cov_2.833333	1	83	37668	83	100	16267.2	36.3	0.064
NODE_91_length_83_cov_1.833333	1	83	47	83	100	32.6145	36.5	2.89
NODE_92_length_82_cov_29.200000	1	82	3185	82	100	1135.24	36.2	0.151
NODE_93_length_82_cov_5.400000	1	82	3932	82	100	1436.68	36.5	0.0916
NODE_94_length_82_cov_2.800000	1	82	1244	82	100	441.244	36.3	0.49
NODE_95_length_81_cov_111.250000	1	81	4513	81	100	1824.16	36.1	0.928
NODE_96_length_81_cov_37.750000	1	81	571	81	100	314.222	36.6	2.99
NODE_97_length_80_cov_114.333333	1	80	3914	80	100	1696.45	36	3.47
NODE_98_length_79_cov_63.500000	1	79	8620	79	100	3789.44	36	11.4
